transactions
txn_id,timestamp,item_id,description,qty,unit_price,discount_percent,line_total,order_subtotal,tax,total
27082025165328,2025-08-27T16:53:28.850851-04:00,14,Stanley #2 flat screwdriver,2,6.95,0,13.9,963.9,57.83,1021.73
27082025165328,2025-08-27T16:53:28.850851-04:00,339921,Yamaha KT 100 kart engine,1,950.0,0,950.0,963.9,57.83,1021.73
27082025220651,2025-08-27T22:06:51.467011-04:00,22345532,3 ft mini USB cable M-F,3,4.5,0,13.5,49.58,2.97,52.55
27082025220651,2025-08-27T22:06:51.467011-04:00,198,Box of 10 Sharpie Roller 0.5mm,2,6.5,0,13.0,49.58,2.97,52.55
27082025220651,2025-08-27T22:06:51.467011-04:00,298765,3x5 index cards - 100 count,5,2.25,10,10.13,49.58,2.97,52.55
27082025220651,2025-08-27T22:06:51.467011-04:00,234887,2025 CSX train calendar,1,12.95,0,12.95,49.58,2.97,52.55
27082025223859,2025-08-27T22:38:59.693383-04:00,65435689,12x16 paper cutter with ruler,2,35.95,0,71.9,176.95,10.62,187.57
27082025223859,2025-08-27T22:38:59.693383-04:00,22389,Swingline Model B2200 Red stapler,1,18.0,0,18.0,176.95,10.62,187.57
27082025223859,2025-08-27T22:38:59.693383-04:00,47831,8x10 picture frame,4,4.95,0,19.8,176.95,10.62,187.57
27082025223859,2025-08-27T22:38:59.693383-04:00,14909,1/4in - 28tpi SS nuts,15,1.0,20,12.0,176.95,10.62,187.57
27082025223859,2025-08-27T22:38:59.693383-04:00,286934,1 lb - coffee beans,10,6.5,15,55.25,176.95,10.62,187.57
27082025231002,2025-08-27T23:10:02.133795-04:00,113355,The Bourne Identity - blu-ray,1,15.95,0,15.95,29.45,1.77,31.22
27082025231002,2025-08-27T23:10:02.133795-04:00,387,Brachs butterscotch hard candy - 1 lb,3,4.5,0,13.5,29.45,1.77,31.22
28082025000459,2025-08-28T00:04:59.617622-04:00,3030BX,3030 aluminum extrusion 1500mm black,3,35.0,0,105.0,217.78,13.07,230.85
28082025000459,2025-08-28T00:04:59.617622-04:00,455654,Park Tool 8mm threaded hook,6,6.95,10,37.53,217.78,13.07,230.85
28082025000459,2025-08-28T00:04:59.617622-04:00,2234983,Wilson NCAA official softball - 1 doz,1,55.0,0,55.0,217.78,13.07,230.85
28082025000459,2025-08-28T00:04:59.617622-04:00,22345532,3 ft mini USB cable M-F,5,4.5,10,20.25,217.78,13.07,230.85
28082025002526,2025-08-28T00:25:26.126173-04:00,3451,Oakley Jawbreaker sunglasses,1,236.0,0,236.0,1677.99,100.68,1778.67
28082025002526,2025-08-28T00:25:26.126173-04:00,582913,Look Keo 2 Max pedals,1,135.0,0,135.0,1677.99,100.68,1778.67
28082025002526,2025-08-28T00:25:26.126173-04:00,2190,Hefty 30 gal with handles - box 40,3,19.0,0,57.0,1677.99,100.68,1778.67
28082025002526,2025-08-28T00:25:26.126173-04:00,97634,Campagnolo 12 spd crankset - 53/39 175mm,1,750.0,0,750.0,1677.99,100.68,1778.67
28082025002526,2025-08-28T00:25:26.126173-04:00,268,Sidi Wire 2 carbon shoes - size 48,1,499.99,0,499.99,1677.99,100.68,1778.67
